Temperature,Trial 1,Trial 2,Trial 3
65,70.299999999999997,70.700000000000003,69.900000000000006
55,68.200000000000003,68.599999999999994,68.799999999999997
45,67.400000000000006,66.799999999999997,67
23.800000000000001,60.100000000000001,59.899999999999999,60.399999999999999
4,47.100000000000001,46.200000000000003,46.899999999999999
-20,28.399999999999999,29.600000000000001,28.100000000000001
